Run UDT client loop ...
50  52  48  50  51  50  47  48  47  47  max: 52  average 10: 49  average total: 49 0KB/s(in)
15:10.22 48 50  145 97  53  47  48  147 99  55  max: 147  average 10: 78  average total: 141
15:10.22 50 55  48  52  49  54  48  49  48  74  max: 74  average 10: 52  average total: 140
15:10.23 160    112 431 378 327 275 224 214 164 113 max: 431  average 10: 239  average total: 141
15:10.23 59 49  52  48  47  47  48  52  78  139 max: 139  average 10: 61  average total: 141
15:10.24 110    58  54  50  48  49  54  53  47  47  max: 110  average 10: 57  average total: 140
15:10.24 48 50  50  49  58  60  55  67  71  49  max: 71  average 10: 55  average total: 139 9.7KB/s(in)
15:10.25 62 58  71  54  59  761 706 654 601 548 max: 761  average 10: 357  average total: 141
15:10.26 498    450 396 346 291 238 185 796 743 690 max: 796  average 10: 463  average total: 144
15:10.26 650    605 555 503 450 400 347 299 247 194 max: 650  average 10: 425  average total: 146
15:10.26 311    257 206 152 102 51  293 243 188 135 max: 311  average 10: 193  average total: 146
15:10.27 80 50  60  50  417 365 316 261 211 159 max: 417  average 10: 196  average total: 147
15:10.27 106    151 123 160 141 91  604 553 504 454 max: 604  average 10: 288  average total: 148
15:10.28 403    352 302 253 202 163 109 180 130 227 max: 403  average 10: 232  average total: 148
15:10.29 854    800 747 693 639 585 532 482 430 375 max: 854  average 10: 613  average total: 152
15:10.29 2005   1951    1900    1849    1796    1745    1695    1646    1594    1543    max: 2005  average 10: 1772  average total: 165
15:10.31 1490   1441    1388    1337    1286    1233    1181    1130    1078    1149    max: 1490  average 10: 1271  average total: 173
15:10.31 1112   2136    2090    2037    1983    1932    1884    1830    1779    1730    max: 2136  average 10: 1851  average total: 186
15:10.32 1681   1631    1577    1583    1530    1477    1424    1459    1410    1405    max: 1681  average 10: 1517  average total: 196
15:10.32 1387   1362    1417    1367    1313    1295    1280    1256    1231    1209    max: 1417  average 10: 1311  average total: 204
15:10.33 1187   1166    1143    1119    1082    1061    1013    987 957 930 max: 1187  average 10: 1064  average total: 211
15:10.33 906    972 950 902 853 799 762 737 712 746 max: 972  average 10: 833  average total: 215
15:10.33 694    642 593 542 523 497 467 442 407 380 max: 694  average 10: 518  average total: 218
15:10.33 350    324 296 274 240 275 227 198 146 96  max: 350  average 10: 242  average total: 218
15:10.34 69 49  47  54  50  47  48  50  562 513 max: 562  average 10: 148  average total: 217
15:10.35 463    414 365 315 264 218 168 118 66  54  max: 463  average 10: 244  average total: 218
15:10.35 47 53  50  50  168 114 62  76  70  61  max: 168  average 10: 75  average total: 217 9.5KB/s(in)
15:10.35 58 50  1243    1192    1139    1086    1034    983 933 884 max: 1243  average 10: 860  average total: 221
15:10.36 831    780 726 675 626 574 524 474 421 437 max: 831  average 10: 606  average total: 224
15:10.37 438    429 421 401 377 370 355 330 306 287 max: 438  average 10: 371  average total: 225
15:10.37 269    245 194 176 148 129 105 74  48  146 max: 269  average 10: 153  average total: 224
15:10.37 98 70  52  47  50  51  53  52  150 100 max: 150  average 10: 72  average total: 223
15:10.38 79 61  53  49  49  59  49  47  48  147 max: 147  average 10: 64  average total: 222
15:10.38 96 72  48  48  49  51  48  50  49  49  max: 96  average 10: 56  average total: 221
15:10.39 49 50  48  49  49  48  48  46  48  51  max: 51  average 10: 48  average total: 220
15:10.39 48 49  48  49  47  49  48  54  50  51  max: 54  average 10: 49  average total: 219
15:10.40 189    136 84  48  51  48  48  47  47  165 max: 189  average 10: 86  average total: 218
15:10.40 114    61  200 169 119 86  153 101 86  55  max: 200  average 10: 114  average total: 217
15:10.41 48 55  94  96  48  49  58  59  48  48  max: 96  average 10: 60  average total: 216
15:10.41 49 47  51  50  47  150 100 146 96  66  max: 150  average 10: 80  average total: 215
15:10.42 53 51  47  53  48  52  49  46  47  50  max: 53  average 10: 49  average total: 214
15:10.42 52 47  50  49  54  79  139 92  156 106 max: 156  average 10: 82  average total: 213
15:10.43 55 98  166 114 220 170 119 278 230 183 max: 278  average 10: 163  average total: 213
15:10.43 172    164 197 200 138568  138519  138465  138413  138363  138308  max: 138568  average 10: 83136  average total: 741 0.5KB/s(in)
15:13.2 138257  138206  138154  138104  138052  138001  137947  137896  137843  137791  max: 138257  average 10: 138025  average total: 1610
15:13.2 137741  137751  137697  137646  137595  137544  137491  137441  137390  137340  max: 137751  average 10: 137563  average total: 2465
15:13.2 137285  137236  137183  137131  137080  137030  136979  137010  136956  136901  max: 137285  average 10: 137079  average total: 3306
15:13.2 136850  136799  136749  136699  136648  136595  136545  136493  136440  136389  max: 136850  average 10: 136620  average total: 4134
15:13.2 136336  136281  136231  136179  136127  136075  136025  135973  135919  135869  max: 136336  average 10: 136101  average total: 4949
15:13.2 135818  135765  135760  135712  135661  135611  135560  135508  135458  135407  max: 135818  average 10: 135626  average total: 5751
15:13.2 135354  135305  135253  135203  135152  135102  135055  135002  134951  134900  max: 135354  average 10: 135127  average total: 6540
15:13.2 134849  134797  134746  134695  134644  134593  134541  134493  134443  134392  max: 134849  average 10: 134619  average total: 7316
15:13.2 134341  134290  134237  134188  134139  134090  134037  133985  133934  133885  max: 134341  average 10: 134112  average total: 8080
15:13.2 133835  133786  133735  133688  133637  133583  133532  133482  133430  133378  max: 133835  average 10: 133608  average total: 8831
15:13.2 133331  133286  133236  133186  133136  133085  133037  132987  132934  132882  max: 133331  average 10: 133110  average total: 9571
15:13.2 132834  132784  132732  132680  132629  132582  132531  132481  132431  132380  max: 132834  average 10: 132606  average total: 10299
15:13.2 132329  132275  132225  132176  132130  132079  132029  131978  131925  131876  max: 132329  average 10: 132102  average total: 11016
15:13.2 131824  131775  131725  131675  131624  131573  131523  131471  131422  131373  max: 131824  average 10: 131598  average total: 11721
15:13.2 131322  131277  131224  131170  131115  131065  131014  130964  130912  130863  max: 131322  average 10: 131092  average total: 12415
15:13.2 130812  130762  130710  130660  130611  130562  130510  130458  130407  130357  max: 130812  average 10: 130584  average total: 13098
15:13.2 130315  130265  130212  130161  130110  130057  130006  129953  129903  129852  max: 130315  average 10: 130083  average total: 13770
15:13.2 129801  129750  129700  129650  129599  129547  129498  129447  129398  129349  max: 129801  average 10: 129573  average total: 14432
15:13.2 129297  129248  129198  129151  129100  129049  128998  128950  128900  128850  max: 129297  average 10: 129074  average total: 15083
15:13.2 128800  128751  128702  128647  128592  128542  128490  128441  128391  128339  max: 128800  average 10: 128569  average total: 15724
15:13.2 128290  128240  128191  128138  128089  128036  127982  127933  127897  127846  max: 128290  average 10: 128064  average total: 16356
15:13.2 127792  127738  127686  127635  127585  127534  127484  127430  127374  127319  max: 127792  average 10: 127557  average total: 16977
15:13.2 127267  127216  127166  127117  127067  127017  126967  126917  126866  126817  max: 127267  average 10: 127041  average total: 17588
15:13.3 126763  126709  126658  126607  126557  126506  126457  126405  126355  126305  max: 126763  average 10: 126532  average total: 18190
15:13.3 126259  126209  126157  126106  126056  126007  125955  125903  125853  125803  max: 126259  average 10: 126030  average total: 18783
15:13.3 125753  125704  125656  125605  125555  125505  125453  125422  125372  125320  max: 125753  average 10: 125534  average total: 19366
15:13.3 125270  125215  125163  125113  125063  125013  124962  124913  124862  124811  max: 125270  average 10: 125038  average total: 19940
15:13.3 124764  124711  124659  124606  124554  124501  124450  124400  124348  124296  max: 124764  average 10: 124528  average total: 20506
15:13.3 124244  124194  124144  124093  124044  123992  123941  123890  123841  123791  max: 124244  average 10: 124017  average total: 21062
15:13.3 123739  123690  123637  123586  123536  123486  123437  123383  123332  123281  max: 123739  average 10: 123510  average total: 21610
15:13.3 123233  123179  123128  123079  123051  123000  122950  122900  122848  122796  max: 123233  average 10: 123016  average total: 22149
15:13.3 122743  122692  122640  122586  122532  122481  122431  122381  122330  122279  max: 122743  average 10: 122509  average total: 22680
15:13.3 122229  122176  122125  122071  122021  121970  121917  121863  121814  121764  max: 122229  average 10: 121995  average total: 23203
15:13.3 121713  121661  121610  121561  121510  121462  121411  121365  121314  121264  max: 121713  average 10: 121487  average total: 23718
15:13.3 121212  121162  121113  121061  121010  120960  120912  120862  120812  120762  max: 121212  average 10: 120986  average total: 24224
15:13.3 120712  120660  120632  120580  120529  120478  120428  120378  120332  120282  max: 120712  average 10: 120501  average total: 24723
15:13.3 120231  120182  120129  120075  120024  119974  119921  119870  119819  119769  max: 120231  average 10: 119999  average total: 25214
15:13.3 119715  119662  119612  119562  119508  119457  119404  119350  119298  119243  max: 119715  average 10: 119481  average total: 25698
15:13.3 119190  119139  119087  119038  118988  118938  118890  118839  118788  118736  max: 119190  average 10: 118963  average total: 26174
15:13.3 118685  118636  118582  118531  118483  118433  118381  118327  118276  118226  max: 118685  average 10: 118456  average total: 26642
15:13.3 118200  118149  118098  118047  117996  117947  117897  117846  117794  117744  max: 118200  average 10: 117971  average total: 27103
15:13.3 117692  117640  117588  117538  117490  117439  117389  117339  117290  117238  max: 117692  average 10: 117464  average total: 27557
15:13.3 117188  117139  117086  117036  116985  116936  116885  116832  116782  116733  max: 117188  average 10: 116960  average total: 28004
15:13.3 116680  116633  116579  116528  116474  116421  116365  116315  116264  116213  max: 116680  average 10: 116447  average total: 28444
15:13.3 116161  116113  116062  116013  115962  115912  115867  115831  115778  115727  max: 116161  average 10: 115942  average total: 28878
15:13.3 115675  115625  115575  115523  115472  115417  115363  115312  115261  115212  max: 115675  average 10: 115443  average total: 29304
15:13.3 115161  115109  115056  115007  114957  114905  114854  114802  114752  114699  max: 115161  average 10: 114930  average total: 29724
15:13.3 114649  114600  114549  114499  114446  114394  114341  114292  114242  114189  max: 114649  average 10: 114420  average total: 30137
15:13.3 114140  114087  114034  113985  113937  113889  113838  113783  113732  113682  max: 114140  average 10: 113910  average total: 30543
15:13.3 113633  113582  113533  113483  113431  113382  113353  113302  113252  113202  max: 113633  average 10: 113415  average total: 30944
15:13.3 113146  113099  113049  112999  112945  112894  112844  112792  112740  112686  max: 113146  average 10: 112919  average total: 31338
15:13.3 112632  112579  112529  112477  112425  112375  112324  112271  112221  112170  max: 112632  average 10: 112400  average total: 31726
15:13.3 112120  112069  112020  111970  111920  111867  111815  111764  111715  111664  max: 112120  average 10: 111892  average total: 32108
15:13.3 111612  111563  111511  111465  111414  111362  111311  111259  111212  111161  max: 111612  average 10: 111387  average total: 32483
15:13.3 111110  111058  111008  110958  110929  110878  110826  110775  110723  110673  max: 111110  average 10: 110893  average total: 32853
15:13.3 110622  110571  110518  110467  110416  110363  110308  110259  110206  110155  max: 110622  average 10: 110388  average total: 33217
15:13.3 110104  110055  110003  109952  109898  109847  109793  109743  109692  109642  max: 110104  average 10: 109872  average total: 33575
15:13.3 109592  109543  109492  109442  109392  109342  109292  109243  109192  109143  max: 109592  average 10: 109367  average total: 33928
15:13.3 109095  109044  108990  108940  108890  108836  108787  108738  108688  108640  max: 109095  average 10: 108864  average total: 34275
15:13.3 108587  108552  108502  108451  108400  108348  108296  108245  108195  108143  max: 108587  average 10: 108371  average total: 34616
15:13.3 108089  108035  107985  107933  107884  107834  107783  107732  107682  107632  max: 108089  average 10: 107858  average total: 34952
15:13.3 107583  107532  107481  107430  107376  107325  107276  107223  107172  107119  max: 107583  average 10: 107351  average total: 35283
15:13.3 107070  107021  106971  106920  106866  106815  106763  106709  106659  106609  max: 107070  average 10: 106840  average total: 35608
15:13.3 106561  106509  106456  106405  106356  106304  106255  106206  106156  106106  max: 106561  average 10: 106331  average total: 35928
15:13.3 106074  106025  105972  105920  105869  105819  105768  105716  105664  105609  max: 106074  average 10: 105843  average total: 36243
15:13.3 105556  105503  105449  105394  105342  105289  105238  105185  105132  105085  max: 105556  average 10: 105317  average total: 36553
15:13.3 105035  104987  104936  104885  104832  104782  104732  104690  104637  104587  max: 105035  average 10: 104810  average total: 36857
15:13.3 104535  104485  104434  104384  104333  104282  104230  104181  104126  104075  max: 104535  average 10: 104306  average total: 37157
15:13.3 104024  103971  103921  103869  103820  103768  103717  103680  103629  103578  max: 104024  average 10: 103797  average total: 37452
15:13.3 103524  103473  103419  103367  103316  103266  103216  103166  103114  103067  max: 103524  average 10: 103292  average total: 37742
15:13.3 103016  102966  102916  102864  102810  102760  102710  102655  102602  102548  max: 103016  average 10: 102784  average total: 38027
15:13.3 102495  102445  102394  102342  102292  102242  102192  102142  102090  102037  max: 102495  average 10: 102267  average total: 38308
15:13.3 101984  101930  101882  101832  101782  101730  101680  101629  101580  101529  max: 101984  average 10: 101755  average total: 38584
15:13.3 101476  101426  101375  101323  101285  101233  101178  101124  101071  101021  max: 101476  average 10: 101251  average total: 38855
15:13.3 100970  100920  100870  100819  100766  100717  100664  100611  100561  100509  max: 100970  average 10: 100740  average total: 39122
15:13.3 100456  100400  100350  100298  100248  100194  100146  100093  100040  99990   max: 100456  average 10: 100221  average total: 39384
15:13.3 99940   99890   99837   99787   99738   99684   99635   99583   99534   99486   max: 99940  average 10: 99711  average total: 39642
15:13.3 99436   99386   99335   99288   99238   99188   99139   99087   99039   98985   max: 99436  average 10: 99212  average total: 39895
15:13.3 98935   98887   98846   98795   98742   98693   98643   98589   98539   98490   max: 98935  average 10: 98715  average total: 40145
15:13.3 98439   98388   98338   98289   98239   98185   98135   98085   98035   97987   max: 98439  average 10: 98212  average total: 40390
15:13.3 97938   97887   97837   97784   97734   97680   97627   97576   97523   97474   max: 97938  average 10: 97706  average total: 40630
15:13.3 97423   97371   97323   97272   97224   97176   97126   97078   97026   96974   max: 97423  average 10: 97199  average total: 40867
15:13.3 96921   96869   96818   96769   96721   96672   96621   96577   96528   96483   max: 96921  average 10: 96697  average total: 41100
15:13.3 96433   96382   96329   96279   96227   96173   96123   96070   96022   95972   max: 96433  average 10: 96201  average total: 41328
15:13.3 95922   95872   95821   95770   95717   95667   95618   95567   95513   95464   max: 95922  average 10: 95693  average total: 41553
15:13.3 95415   95365   95311   95261   95209   95154   95100   95047   94995   94945   max: 95415  average 10: 95180  average total: 41774
15:13.3 94893   94843   94794   94744   94694   94642   94592   94543   94489   94437   max: 94893  average 10: 94667  average total: 41990
15:13.3 94383   94332   94279   94228   94178   94131   94082   94033   93982   93928   max: 94383  average 10: 94155  average total: 42203
15:13.3 93880   93828   93777   93728   93678   93623   93573   93523   93472   93424   max: 93880  average 10: 93650  average total: 42413
15:13.3 93373   93324   93272   93221   93172   93122   93073   93023   92971   92917   max: 93373  average 10: 93146  average total: 42618
15:13.3 92868   92813   92762   92712   92662   92611   92562   92509   92459   92413   max: 92868  average 10: 92637  average total: 42820
15:13.3 92362   92311   92262   92212   92163   92114   92061   92013   91962   91913   max: 92362  average 10: 92137  average total: 43018
15:13.3 91863   91813   91763   91716   91661   91612   91561   91510   91462   91413   max: 91863  average 10: 91637  average total: 43212
15:13.3 91364   91313   91263   91212   91161   91111   91065   91014   90964   90912   max: 91364  average 10: 91137  average total: 43403
15:13.3 90863   90814   90766   90717   90664   90613   90562   90511   90460   90410   max: 90863  average 10: 90638  average total: 43591
15:13.3 90360   90312   90263   90213   90164   90118   90067   90018   89969   89919   max: 90360  average 10: 90140  average total: 43775
15:13.3 89873   89820   89769   89719   89671   89622   89572   89521   89471   89422   max: 89873  average 10: 89646  average total: 43955
15:13.3 89372   89322   89273   89226   89175   89124   89076   89023   88976   88923   max: 89372  average 10: 89149  average total: 44132
15:13.3 88870   88820   88768   88720   88673   88623   88574   88523   88483   88431   max: 88870  average 10: 88648  average total: 44306
15:13.3 88380   88327   88275   88227   88176   88126   88074   88023   87969   87919   max: 88380  average 10: 88149  average total: 44477
15:13.3 87871   87822   87772   87725   87676   87628   87578   87528   87478   87428   max: 87871  average 10: 87650  average total: 44644
15:13.3 87379   87332   87282   87232   87181   87132   87081   87028   86982   86932   max: 87379  average 10: 87156  average total: 44808
15:13.3 86882   86832   86783   86734   86683   86636   86584   86534   86484   86434   max: 86882  average 10: 86658  average total: 44969
15:13.3 86384   86335   86288   86239   86186   86138   86085   86032   85981   85928   max: 86384  average 10: 86159  average total: 45127
15:13.3 85875   85822   85774   85722   85668   85621   85568   85517   85469   85419   max: 85875  average 10: 85645  average total: 45282
15:13.3 85370   85315   85268   85222   85172   85122   85071   85021   84976   84925   max: 85370  average 10: 85146  average total: 45433
15:13.3 84874   84821   84766   84717   84667   84618   84569   84521   84474   84423   max: 84874  average 10: 84645  average total: 45582
15:13.3 84369   84318   84270   84220   84171   84122   84072   84020   83969   83918   max: 84369  average 10: 84144  average total: 45727
15:13.3 83868   83820   83771   83722   83674   83624   83572   83523   83472   83419   max: 83868  average 10: 83646  average total: 45870
15:13.3 83369   83323   83274   83223   83169   83119   83069   83017   82964   82913   max: 83369  average 10: 83144  average total: 46010
15:13.4 82861   82811   82758   82707   82659   82611   82561   82506   82457   82408   max: 82861  average 10: 82633  average total: 46146
15:13.4 82358   82307   82258   82209   82169   82119   82069   82019   81969   81919   max: 82358  average 10: 82139  average total: 46280
15:13.4 81871   81821   81771   81721   81671   81625   81574   81521   81471   81421   max: 81871  average 10: 81646  average total: 46411
15:13.4 81372   81323   81273   81224   81174   81126   81077   81028   80976   80925   max: 81372  average 10: 81149  average total: 46539
15:13.4 80878   80828   80773   80720   80668   80618   80565   80514   80463   80418   max: 80878  average 10: 80644  average total: 46665
15:13.4 80369   80320   80272   80218   80171   80118   80069   80017   79966   79916   max: 80369  average 10: 80143  average total: 46787
15:13.4 79864   79811   79761   79710   79660   79612   79561   79515   79464   79414   max: 79864  average 10: 79637  average total: 46907
15:13.4 79367   79313   79260   79211   79159   79111   79062   79013   78959   78909   max: 79367  average 10: 79136  average total: 47024
15:13.4 78862   78811   78760   78710   78661   78619   78568   78516   78464   78412   max: 78862  average 10: 78638  average total: 47139
15:13.4 78361   78313   78259   78209   78161   78111   78062   78014   77962   77910   max: 78361  average 10: 78136  average total: 47251
